week, date, website, count, sadness, contempt, disgust, anger, surprise, fear, happiness, neutral
10,10/04/2015,www.politico.com,2,0.022330644,0.00137696398,0.00448134966,0.005724498095,0.000356078885,2.310811035e-05,0.11682815112,0.8488792225
10,10/04/2015,www.nationalreview.com,1,0.003341585,0.00324679422,0.0127635589,0.0448039025,0.0968926,0.000233099316,0.008743101,0.829975367
10,10/04/2015,www.huffingtonpost.com,1,0.0888983458,0.00374067575,0.003953534,0.0345905647,0.00115495571,0.000249487435,0.00045669562,0.866955757
10,10/04/2015,www.nbcnews.com,4,0.00464203934455,0.00234961614989,0.0124019444315,0.0869714278622,0.057173673782,0.000960354215221,0.254698878989,0.580802064076
11,10/11/2015,www.cnn.com,3,0.0537797616568,0.0009778633445,0.00890629890133,0.182779669048,0.0779529703175,0.0120348426533,0.33834899398,0.325219573723
11,10/11/2015,www.msnbc.com,4,0.0040886005725,0.0030053893525,0.0003163272324,0.0009199367826,0.000226240291075,8.2715469575e-06,0.120957321684,0.87047792775
11,10/11/2015,www.cbsnews.com,1,6.7511445e-07,1.51076483e-05,1.09173052e-05,4.33026344e-06,4.626007e-08,3.00892444e-09,0.9999427,2.61905516e-05
11,10/11/2015,www.huffingtonpost.com,6,0.006401952615,0.0177291910733,0.0280979992,0.161265770715,0.0635289296267,0.00170980869133,0.0106226076832,0.710643755667
11,10/11/2015,www.washingtonpost.com,4,0.00203646469475,0.0035610982325,0.0139564802698,0.0504740698425,0.113156548748,5.6387499325e-05,0.44877385275,0.36798511425
11,10/11/2015,www.politico.com,1,0.0057781823,0.00167121284,0.0241262577,0.0578236356,0.192040339,0.000865161943,9.18128862e-05,0.7176034
11,10/11/2015,www.nationalreview.com,1,0.00147512543,0.01802472,0.04602923,0.430566669,0.018624682,0.000156877722,0.000438286719,0.4846844
11,10/11/2015,www.nbcnews.com,1,6.750456e-07,8.68231837e-07,2.72662237e-05,4.32010438e-06,7.077522e-07,1.73571679e-09,0.9999533,1.281941e-05
12,10/18/2015,www.wsj.com,1,0.000364775769,0.0007130747,0.00686000939,0.0334795825,0.1348732,3.059988e-05,0.000144654,0.823534131
12,10/18/2015,www.cnn.com,2,0.002174397085,0.0034327015,0.0090643825,0.04154771915,0.0070563184,3.16252026e-05,0.0406687584,0.8960240845
12,10/18/2015,www.msnbc.com,1,1.39277481e-05,0.0002636795,7.773829e-06,0.0002170657,0.000136738512,2.50034127e-08,2.25601452e-05,0.9993382
12,10/18/2015,www.huffingtonpost.com,3,0.00388053566328,0.00136342255369,0.005301350082,0.0115501696474,0.0235011683132,0.000102431849365,0.666695043806,0.287605879435
12,10/18/2015,www.washingtonpost.com,2,0.0202597829875,0.00310356993,0.01127383115,0.017477944695,0.0299294603,0.000229457832,0.001385708485,0.9163402215
12,10/18/2015,www.nationalreview.com,1,0.00623064069,0.04994998,0.000333010015,0.0005466723,0.00195145677,0.0001478071,0.18252413,0.7583163
12,10/18/2015,www.nytimes.com,1,0.00165219523,0.000424674683,0.000875407248,0.003021136,0.24704352,0.00103145232,0.00240233936,0.7435493
12,10/18/2015,www.nbcnews.com,1,0.0116439071,0.00192207948,0.05808926,0.14733611,0.274495274,0.00218639872,0.00154973392,0.5027772
13,10/25/2015,www.msnbc.com,1,0.0020290988,0.00440874,0.0318293832,0.08973785,0.143754363,7.745479e-05,0.00434504356,0.723818064
13,10/25/2015,www.huffingtonpost.com,2,0.00636929226,0.0030998525,0.008922538825,0.0256651327,0.0419647534,0.00017360996,0.0003950799585,0.913409726
